state,district_id,district,representative,party,poor_2000,poverty_rate_2000,poor_2010_14,poverty_rate_2010_14,,chg_poor,sig_poor,chg_rate,sig_rate,,,
US,,All,,,33899812.00000,0.12378,47755606.00000,0.15595,,0.40873,*,0.03217,*,,,
US_R,,All Republican Districts (247),,R,16795271.00000,0.11109,25064102.00000,0.14434,,0.49233,*,0.03325,*,,,
US_D,,All Democratic Districts (189),,D,17104541.00000,0.13941,22691504.00000,0.17115,,0.32664,*,0.03175,*,,,
AL,101,Congressional District 1,"Byrne, Bradley",R,105784.00000,0.16993,128867.00000,0.18931,,0.21821,*,0.01938,*,,,
AL,102,Congressional District 2,"Roby, Martha",R,102308.00000,0.16769,128514.00000,0.19396,,0.25615,*,0.02627,*,,,
AL,103,Congressional District 3,"Rogers, Mike",R,105553.00000,0.17473,142015.00000,0.20920,,0.34544,*,0.03447,*,,,
AL,104,Congressional District 4,"Aderholt, Robert B.",R,97008.00000,0.15013,128799.00000,0.19201,,0.32772,*,0.04188,*,,,
AL,105,Congressional District 5,"Brooks, Mo",R,69390.00000,0.11932,100948.00000,0.14855,,0.45479,*,0.02923,*,,,
AL,106,Congressional District 6,"Palmer, Gary J.",R,47113.00000,0.08172,75435.00000,0.11243,,0.60115,*,0.03071,*,,,
AL,107,Congressional District 7,"Sewell, Terri A.",D,170941.00000,0.24633,185132.00000,0.28218,,0.08302,*,0.03584,*,,,
AK,200,Congressional District (at Large),"Young, Don",R,57602.00000,0.09397,71866.00000,0.10104,,0.24763,*,0.00707,*,,,
AZ,401,Congressional District 1,"Kirkpatrick, Ann",D,118382.00000,0.22067,152771.00000,0.21971,,0.29049,*,-0.00096,,,,
AZ,402,Congressional District 2,"McSally, Martha",R,77427.00000,0.12480,112812.00000,0.16223,,0.45701,*,0.03743,*,,,
AZ,403,Congressional District 3,"Grijalva, Raul M.",D,104401.00000,0.21468,169638.00000,0.24492,,0.62487,*,0.03024,*,,,
AZ,404,Congressional District 4,"Gosar, Paul A.",R,58926.00000,0.12576,112987.00000,0.16318,,0.91744,*,0.03741,*,,,
AZ,405,Congressional District 5,"Salmon, Matt",R,25648.00000,0.05491,71218.00000,0.09626,,1.77675,*,0.04135,*,,,
AZ,406,Congressional District 6,"Schweikert, David",R,48157.00000,0.07249,87955.00000,0.12138,,0.82642,*,0.04890,*,,,
AZ,407,Congressional District 7,"Gallego, Ruben",D,157384.00000,0.25059,252724.00000,0.34922,,0.60578,*,0.09863,*,,,
AZ,408,Congressional District 8,"Franks, Trent",R,25816.00000,0.06005,74490.00000,0.10161,,1.88542,*,0.04156,*,,,
AZ,409,Congressional District 9,"Sinema, Kyrsten",D,82528.00000,0.11461,134714.00000,0.18858,,0.63234,*,0.07397,*,,,
AR,501,Congressional District 1,"Crawford, Eric A. ""Rick""",R,130606.00000,0.18929,153635.00000,0.22003,,0.17632,*,0.03074,*,,,
AR,502,Congressional District 2,"Hill, J. French",R,79321.00000,0.12636,115855.00000,0.15904,,0.46058,*,0.03267,*,,,
AR,503,Congressional District 3,"Womack, Steve",R,76371.00000,0.13384,129701.00000,0.17754,,0.69830,*,0.04370,*,,,
AR,504,Congressional District 4,"Westerman, Bruce",R,125479.00000,0.17628,150112.00000,0.21280,,0.19631,*,0.03652,*,,,
CA,601,Congressional District 1,"LaMalfa, Doug",R,99367.00000,0.15704,125016.00000,0.18360,,0.25812,*,0.02656,*,,,
CA,602,Congressional District 2,"Huffman, Jared",D,73456.00000,0.11084,94156.00000,0.13575,,0.28180,*,0.02491,*,,,
CA,603,Congressional District 3,"Garamendi, John",D,82855.00000,0.13634,113297.00000,0.16462,,0.36741,*,0.02828,*,,,
CA,604,Congressional District 4,"McClintock, Tom",R,43119.00000,0.07829,72202.00000,0.10390,,0.67448,*,0.02562,*,,,
CA,605,Congressional District 5,"Thompson, Mike",D,55574.00000,0.08536,91226.00000,0.13034,,0.64152,*,0.04497,*,,,
